avg_log2FC	cluster	gene
2.90143024664936	7	MLP-like1;TSP2-like
2.88184615976392	7	VKT52-like
5.70801023930534	8	NVE22000
5.47473414519453	8	NVE3533
4.87625361886972	8	COEA1-like2;ATS7-like1
4.12749096399646	8	NVE3796-a
4.09672725497653	8	NVE12326
4.08251680461218	8	NVE5857
3.54511620740139	8	NVE16591
3.49934500804402	8	NVE15760
3.38326481771255	8	SVEP1-like28;CD97-like;NVE26154;TTC28-like26
3.34415797173997	8	CNTP5-like1
4.24569520988514	9	NvRfamide
3.52925747553062	9	NVE244-b
2.76716905528892	9	NVE8064
2.58141733289534	9	TBA1-like7
2.13369233277662	9	TMPS6-like4
2.13298809851686	9	SH3G3-like2
2.13088526890116	9	NVE18512
1.80161419047461	9	NVE2237
1.79301210533773	9	NVE22301
1.70365798001863	9	NVE7860
4.71925212452341	10	BIR7B-like
3.79481611052671	10	FBP3-like5
3.67737579219342	10	NVE47
3.43284891142464	10	GSHB-like
3.24566086306173	10	NVE25820
3.18135468196761	10	NUPR1-like1
3.07945620927422	10	NVE4959-b
3.01165096433126	10	NV2.24170
2.97870014739026	10	CAB32-like
2.81072277449879	10	NVE11820
3.61355674968425	11	NVE13213;NVE21927
2.51684630234688	11	NVE16355
2.48007741541733	11	CD151-like3
2.45435632757645	11	NVE8064
1.96871636005412	11	NVE7861
1.93403694127672	11	ENTK-like;TMPS6-like1
1.86405717132314	11	TBA1-like7
1.79631766180163	11	GBGE-like
1.63453994275672	11	PPR27-like5
1.51873788106999	11	NVE7859
6.6149054807168	12	VWA2-like2;COEA1-like6
6.56288810941508	12	NVE4602
5.95668182351497	12	NVE4603
5.2902368512442	12	NVE20094
4.46004670001606	12	NVE4451
4.0355677000297	12	NAS13-like8-b
3.58710667420694	12	TAF1A-like;NVE9358
3.16701720556022	12	XYLT-like5;DOX1-like
2.91577481205428	12	NVE15426
2.56296066669916	12	NV2.8632
1.76723559220396	13	NVE3548;APLP-like
1.75726754425034	13	NVE15772
1.68112239080302	13	HEBP2-like1
1.66215670839903	13	MCPI-like1
1.59412169116544	13	MP20-like3
1.59097487208609	13	VKT1-like1
1.51991702721409	13	NVE15529
1.51972514991539	13	NvVcaml-like
1.45014706440706	13	NVE14859
1.43796296004141	13	FRIS-like6
4.57814169322087	14	NVE18688
4.25192378143661	14	NVE8271;NVE4193
4.07170303490994	14	NVE21749
3.11552921574519	14	TYB12-like
2.81135855155971	14	NVE25207
2.80607016176494	14	NVE7775
2.74771361874425	14	RETNB-like
2.65144350483926	14	NAS15-like6;NAS15-like10
2.64966053976287	14	NVE24307
2.5072674676738	14	PGBM-like3
2.52957640432679	15	NVE21864
1.87278032232707	15	NvNeurogenin1
1.80599308328561	15	NvSoxC
1.56426969857761	15	NvSoxB.2
1.4028599311478	15	NvMyc3
1.33676086614146	15	NVE15970;NVE22777
1.33672379156454	15	NV2.437
1.16329852441365	15	NH2L1-like
1.12682143650081	15	CP17A-like11
1.05530895315231	15	RL4A-like;NVE17753
2.33290197230434	16	NVE19926
2.1462300466082	16	PPM1K-like1-b
1.66075964603426	16	DLGP5-like;DPH1-like
1.5825715475784	16	CKS1-like1
1.50105919021842	16	HSBP1-like1
1.49863527909926	16	CDK1-like;CDK1B-like
1.4739077581931	16	NV2.6859
1.43600300458308	16	NVE18593;NVE18594
1.31134674521699	16	NVE24150;NVE24151
1.29110669979342	16	CETN1-like
1.5668910662533	17	NVE19335
1.38488481464949	17	NVE18593;NVE18594
1.18068386553878	17	HMCN1-like3
1.10886320677492	17	NVE7039;NVE2879;NVE18382
1.19458879503436	18	ADF9-like
1.07366891268789	18	HMCN1-like3
1.05999890947934	18	NVE5920;MOXD1-like1
1.03760019133666	18	NVE19335
0.985294658633876	18	NVE7039;NVE2879;NVE18382
0.969560587085733	18	TRAD1-like2
0.96739014561703	18	RMR1-like
0.966579232410826	18	ACTP-like-a
0.952440289521633	18	HSP11-like1;HSP11-like3
0.934969895230205	18	NV2.8830
3.51267424901527	19	CSL3-like6
2.99030481773404	19	NVE23370;NVE23371;NVE4448
2.80390220025042	19	NVE6010
2.37889224492583	19	Nve-Actin6
1.95717467567449	19	NVE17825
1.80503379981175	19	Nve-Tpm4
1.73391124171791	19	NVE5546
1.70707198031765	19	GP2-like4;GP2-like2;GP2-like12
1.70630841501056	19	NVE17534;UROM-like5;GP2-like20;UROM-like9;GP2-like21;UROM-like10;GP2-like32;OIT3-like11;GP2-like30;GP2-like26;GP2-like3;OIT3-like14
1.61995914728919	19	NVE3689;NVE17844
1.36109567664809	20	NvNcol6
1.19794655353833	20	NVE19039
1.12261165144471	20	NvNEP3-b
1.09614485391979	20	NvNcol1
1.03986611790152	20	NVE5857
1.03755423721563	20	NVE19037
1.0154050828962	20	NVE17895;NVE17896;NVE12382
0.978690762039923	20	NVE10241-a
0.90225609090805	20	LRP1-like1
0.859549336721562	20	NvNcol3-b
1.3159897510754	22	DLGP5-like;DPH1-like
1.28822414486438	22	CKS1-like1
1.15301314027934	22	CDK1-like;CDK1B-like
0.954506794114161	22	HEBP2-like1
0.943407319609814	22	NVE3548;APLP-like
0.933443121419679	22	MCPI-like1
0.888351936229781	22	NVE15772
0.875228589394466	22	VKT1-like1
0.748928642528587	22	Nvmuscle-LIM1.1;Nvmuscle-LIM1.2;MLP1-like
4.76747191247316	23	NVE90;NVE5986
4.71027625235917	23	NvNcol6
4.40093219705048	23	NvNcol1
4.36440143053313	23	NVE10241-a
4.33867727282582	23	NvNcol3-b
4.30673371838135	23	NVE52
4.27195471345884	23	NVE903-a
4.10794216442066	23	NVE4966
4.08661552526805	23	NvNEP4
4.00490960398234	23	NVE897
5.64501559657556	24	NVE900;NVE901
5.15452040010163	24	NvNcol6
5.06836567353429	24	NVE8325
5.06204933266331	24	NVE19039
5.04132445701992	24	NVE8326
4.86527338354574	24	NvNcol3-b
4.82822211990439	24	NvNEP3-b
4.68291162369283	24	NVE18324
4.42940661807771	24	NVE4225
4.39336974495042	24	NVE24845;NVE9661;NVE33
